datetime,symbol,exchange,open,high,low,close,volume,turnover,open_interest
2019-12-24 17:15:00,MHImain,HKFE,27868.0,27868.0,27868.0,27868.0,0.0,0.0,0.0
2019-12-24 21:15:00,MHImain,HKFE,27868.0,27868.0,27868.0,27868.0,0.0,0.0,0.0
2019-12-25 01:15:00,MHImain,HKFE,27868.0,27868.0,27868.0,27868.0,0.0,0.0,0.0
2019-12-27 01:15:00,MHImain,HKFE,28020.0,28258.0,28000.0,28214.0,23544.0,662990515.0,0.0
2019-12-27 11:00:00,MHImain,HKFE,28213.0,28246.0,28165.0,28220.0,14517.0,409526492.0,0.0
2019-12-27 17:15:00,MHImain,HKFE,28325.0,28371.0,28302.0,28355.0,1199.0,33988360.0,0.0
2019-12-27 21:15:00,MHImain,HKFE,28350.0,28360.0,28300.0,28339.0,1798.0,50942840.0,0.0
2019-12-28 01:15:00,MHImain,HKFE,28339.0,28342.0,28322.0,28322.0,280.0,7932941.0,0.0
2019-12-30 01:15:00,MHImain,HKFE,28322.0,28472.0,28270.0,28460.0,24947.0,707753337.0,0.0
2019-12-30 11:00:00,MHImain,HKFE,28459.0,28535.0,28391.0,28420.0,21605.0,614880494.0,0.0
2019-12-30 17:15:00,MHImain,HKFE,28415.0,28447.0,28371.0,28444.0,2800.0,79535058.0,0.0
2019-12-30 21:15:00,MHImain,HKFE,28445.0,28465.0,28323.0,28353.0,7978.0,226423595.0,0.0
2019-12-31 01:15:00,MHImain,HKFE,28355.0,28408.0,28219.0,28237.0,23526.0,666048385.0,0.0
2019-12-31 11:00:00,MHImain,HKFE,28239.0,28289.0,28198.0,28284.0,6203.0,175193029.0,0.0
2019-12-31 17:15:00,MHImain,HKFE,28276.0,28276.0,28276.0,28276.0,0.0,0.0,0.0
2020-01-02 01:15:00,MHImain,HKFE,28360.0,28619.0,28210.0,28552.0,35596.0,1012923167.0,0.0
2020-01-02 11:00:00,MHImain,HKFE,28553.0,28629.0,28457.0,28600.0,22486.0,642056998.0,0.0
2020-01-02 17:15:00,MHImain,HKFE,28612.0,28670.0,28605.0,28644.0,3288.0,94173398.0,0.0
2020-01-02 21:15:00,MHImain,HKFE,28644.0,28788.0,28642.0,28760.0,9288.0,266856550.0,0.0
2020-01-03 01:15:00,MHImain,HKFE,28758.0,28946.0,28480.0,28582.0,47318.0,1359390798.0,0.0
2020-01-03 11:00:00,MHImain,HKFE,28581.0,28615.0,28426.0,28435.0,25760.0,734485060.0,0.0
2020-01-03 17:15:00,MHImain,HKFE,28430.0,28430.0,28278.0,28426.0,9080.0,257489484.0,0.0
2020-01-03 21:15:00,MHImain,HKFE,28426.0,28534.0,28375.0,28472.0,12379.0,352356412.0,0.0
2020-01-04 01:15:00,MHImain,HKFE,28472.0,28492.0,28375.0,28427.0,1565.0,44495902.0,0.0
2020-01-06 01:15:00,MHImain,HKFE,28300.0,28435.0,28233.0,28297.0,34749.0,984021933.0,0.0
2020-01-06 11:00:00,MHImain,HKFE,28294.0,28369.0,28075.0,28194.0,33625.0,949476432.0,0.0
2020-01-06 17:15:00,MHImain,HKFE,28190.0,28265.0,28106.0,28207.0,6197.0,174790058.0,0.0
2020-01-06 21:15:00,MHImain,HKFE,28208.0,28307.0,28168.0,28256.0,8694.0,245561565.0,0.0
2020-01-07 01:15:00,MHImain,HKFE,28254.0,28530.0,28253.0,28422.0,38526.0,1095421167.0,0.0
2020-01-07 11:00:00,MHImain,HKFE,28422.0,28453.0,28281.0,28378.0,24137.0,685240766.0,0.0
2020-01-07 17:15:00,MHImain,HKFE,28355.0,28394.0,28330.0,28340.0,3850.0,109196155.0,0.0
2020-01-07 21:15:00,MHImain,HKFE,28340.0,28350.0,28240.0,28288.0,9692.0,274211189.0,0.0
2020-01-08 01:15:00,MHImain,HKFE,28290.0,28310.0,27860.0,28149.0,46019.0,1289520833.0,0.0
2020-01-08 11:00:00,MHImain,HKFE,28150.0,28253.0,27998.0,28056.0,35436.0,996282129.0,0.0
2020-01-08 17:15:00,MHImain,HKFE,28068.0,28176.0,28068.0,28160.0,5696.0,160260449.0,0.0
2020-01-08 21:15:00,MHImain,HKFE,28160.0,28452.0,28136.0,28414.0,14747.0,416785945.0,0.0
2020-01-09 01:15:00,MHImain,HKFE,28411.0,28504.0,28368.0,28435.0,33787.0,960761116.0,0.0
